corp_ceref,corp_name,ro_ceref,ro_full_name,ro_name_chi,ro_ra_types
ACP152,SIIC Asset Management Company Limited,BEV315,TAO Zhengyi,陶正毅,9
ACP152,SIIC Asset Management Company Limited,AUW918,ZHANG Lei,張磊,9
ACZ309,Shun Loong Securities Company Limited,AAC044,"CHAN Wing Yau, George",陳永祐,1
ACZ309,Shun Loong Securities Company Limited,ATD334,KWOK Ka Yiu,郭家耀,1
ACZ309,Shun Loong Securities Company Limited,AJD975,OR Siu Kam,柯小琴,1
ACZ309,Shun Loong Securities Company Limited,AGO828,WU Hiu Man,鄔曉敏,1
ADC035,Siu On Securities Limited,ASC547,"LEE Hang Fai, Humphrey",李恆輝,1
ADC035,Siu On Securities Limited,AVS016,"LEE Man Fai, Matthew",李文輝,1
ADC035,Siu On Securities Limited,AIJ782,WAN Kit Yi,溫潔兒,1
ADE715,Sino Grade Securities Limited,ABE355,"LEE Sai Yin, Jeanne",李細燕,1
ADE715,Sino Grade Securities Limited,AUI783,LEE Yin Ping,李彥萍,1
ADE715,Sino Grade Securities Limited,AAC558,YANG Kwok Chuen,楊國全,1
ADU956,Shenwan Hongyuan Asset Management (Asia) Limited,BIV840,HU Jingan,胡靜安,"4,9"
ADU956,Shenwan Hongyuan Asset Management (Asia) Limited,ARV063,LEUNG Chung Ping,梁仲平,"4,9"
ADU956,Shenwan Hongyuan Asset Management (Asia) Limited,BIN429,LIANG Jun,梁鈞,"4,9"
ADU956,Shenwan Hongyuan Asset Management (Asia) Limited,BVL696,LUO Hongwei,,"4,9"
ADY241,SDHG International Securities Limited,BLU642,LIU Yao,劉堯,1
ADY241,SDHG International Securities Limited,APQ674,MAK Pui Hang Eric,麥沛恒,1
ADY241,SDHG International Securities Limited,AVL307,WONG Ka Hei,黃家禧,1
AEG139,Silk Road International Capital Limited,BRE365,LU Chao,鹿超,"1,4,9"
AEG139,Silk Road International Capital Limited,BJS096,TU Qixiong,涂奇雄,"1,4,6,9"
AEI343,State Street Global Advisors Asia Limited,BBT978,ANDERSON Kevin David,,"1,2,4,5,9"
AEI343,State Street Global Advisors Asia Limited,AFD181,CHEUNG Wai Fai,張偉輝,"1,2"
AEI343,State Street Global Advisors Asia Limited,ARK830,"CHU Wai Tak, Victor",褚偉德,"1,4,5"
AEI343,State Street Global Advisors Asia Limited,AIQ973,HUI Hoi Pan,許海濱,"4,5,9"
AEI343,State Street Global Advisors Asia Limited,AVK938,LO Ka Ying,羅嘉盈,"1,2"
AEI343,State Street Global Advisors Asia Limited,AXJ725,SIU Hiu Ting,蕭曉婷,"1,4"
AEI343,State Street Global Advisors Asia Limited,BTM294,SORRELL Graham Alan Roger,,"1,2"
AEI343,State Street Global Advisors Asia Limited,BRR765,YOUNG HERRIES Flora Elizabeth Margaret,,"1,4"
AEJ382,SinoPac Asset Management (Asia) Limited,AEU949,HSU Ru Mei,許如玫,"1,4,9"
AEJ382,SinoPac Asset Management (Asia) Limited,ACJ705,IP Chun Ho,葉俊豪,"1,4,9"
AEJ382,SinoPac Asset Management (Asia) Limited,AES405,LANG Hau Wan,林巧雲,"1,4,9"
AEJ382,SinoPac Asset Management (Asia) Limited,ALF643,LIN Bing,林兵,"1,4,9"
AEJ382,SinoPac Asset Management (Asia) Limited,BTR299,SU Hsuan Kang,蘇炫綱,"1,4,9"
AEJ390,Stellar Securities Limited,BDW690,HO Ka Ho,何嘉豪,1
