corp_ceref,corp_name,ro_ceref,ro_full_name,ro_first_short,ro_first_full,ro_last,ro_name_chi,ro_ra_types
ADC047,Allard Partners Limited,BBD312,TENG Da,Da,Da,Teng,滕達,9
ADC118,Axiom Investment Management Limited,ACV216,CHIU Robert Yin,Robert Yin,Robert Yin,Chiu,趙宗彥,"4,9"
ADC118,Axiom Investment Management Limited,BQG366,WONG Lai Shan,Lai Shan,Lai Shan,Wong,黃麗珊,"4,9"
ADU453,Asia Investment Research Limited,ALL205,LEE Mei Chi,Mei Chi,Mei Chi,Lee,李美芝,"4,9"
ADU453,Asia Investment Research Limited,ACJ320,TSE Wing Keung,Wing Keung,Wing Keung,Tse,謝永強,"4,9"
ADX555,AllianceBernstein Hong Kong Limited,AGF156,CHOW Kin Hung,Kin Hung,Kin Hung,Chow,鄒建雄,"1,2,4,5,9"
ADX555,AllianceBernstein Hong Kong Limited,BEC495,HULLAH James Edward,James,James Edward,Hullah,,"1,2,4,5"
ADX555,AllianceBernstein Hong Kong Limited,ALB059,KAO Cheng-hui,Cheng-Hui,Cheng-Hui,Kao,高正輝,"1,4"
ADX555,AllianceBernstein Hong Kong Limited,ANH007,LIN Mei-Fang,Mei-Fang,Mei-Fang,Lin,林玫芳,"1,2,4,5"
ADX555,AllianceBernstein Hong Kong Limited,BBM579,LIU Eric Kar Hang,Eric,Eric Kar Hang,Liu,廖嘉恒,"1,2,4,5,9"
ADX555,AllianceBernstein Hong Kong Limited,AYT805,TAGLIONE Thierry Vincent,Thierry,Thierry Vincent,Taglione,,"1,4"
ADX555,AllianceBernstein Hong Kong Limited,AFF074,WONG David Nicholas,David,David Nicholas,Wong,,9
ADX555,AllianceBernstein Hong Kong Limited,AWJ166,ZHENG Lily,Lily,Lily,Zheng,鄭莉莉,"4,9"
AED024,Anli Securities Limited,ADI453,"FUNG Mei Yan, May",May,Mei Yan,Fung,馮美欣,"1,4"
AED024,Anli Securities Limited,AFS701,"KO See King, Ronald",Ronald,See King,Ko,高仕勁,"1,4"
AEE189,Access Investment Management (H.K.) Limited,AAD288,LIU Chee Ming,Chee Ming,Chee Ming,Liu,劉志敏,"4,5,9"
AEE189,Access Investment Management (H.K.) Limited,AUV429,"LIU Zhen Rong, Daryl",Daryl,Zhen Rong,Liu,劉鎮榮,"4,5,9"
AEN683,Asia Debt Management Hong Kong Limited,AEN684,BOTSFORD Christopher Robert,Christopher,Christopher Robert,Botsford,,9
AEN683,Asia Debt Management Hong Kong Limited,BEE279,WHYTE David Timothy John,David,David Timothy John,Whyte,,9
